time (sec),obs_congestion_control-single_node_offerload_0_1-DES-1: Blocked Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_2-DES-1: Blocked Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_3-DES-1: Blocked Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_4-DES-1: Blocked Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_5-DES-1: Blocked Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_6-DES-1: Blocked Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_7-DES-1: Blocked Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_8-DES-1: Blocked Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_9-DES-1: Blocked Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_10-DES-1: Blocked Traffic Sink.Traffic Received (packets/sec) ,,,
3.85,0,20,640,6260,22720,47500,85880,126680,169060,209200,,,
3.9,0,80,580,6360,23300,52220,89900,128220,171160,214940,,,
3.95,0,40,760,5620,23900,53600,88300,124340,169880,213560,,,
4,0,40,680,6580,20700,49340,87380,129720,168360,208060,,,
4.05,0,20,840,5820,22720,49400,87320,129540,169440,209820,,,
4.1,0,0,440,5760,22580,53100,89660,124200,170920,212520,,,
4.15,0,0,920,5060,23020,50860,89200,124160,170960,209340,,,
4.2,0,20,900,6440,23900,51680,89700,127760,168100,215780,,,
4.25,0,0,800,6160,23080,52680,89380,125700,170580,212260,,,
4.3,0,0,700,5500,24000,50460,85540,130980,170700,211380,,,
4.35,0,0,620,6380,22040,50980,87700,126640,168100,213180,,,
4.4,0,0,760,7120,23520,50040,84380,125540,166800,214740,,,
4.45,0,0,900,6380,22380,48880,89280,124840,168280,211940,,,
4.5,0,20,640,5320,21900,51620,88640,126280,168700,210300,,,
4.55,0,0,960,5720,20000,51440,86740,128920,167880,212680,,,
4.6,0,0,480,6320,21560,54740,87900,127540,168820,210960,,,
4.65,0,0,540,5600,23340,51380,88760,129660,170420,210600,,,
4.7,0,0,760,6160,22000,55360,86780,127460,169660,214380,,,
4.75,0,0,620,5380,22220,53980,87120,125300,170500,218060,,,
4.8,0,0,700,6100,21780,53300,88800,123100,167640,214700,,,
4.85,0,0,780,6300,23680,49700,89720,127940,166340,213700,,,
4.9,0,20,620,6160,24200,49900,86080,123800,167900,212820,,,
4.95,0,0,520,5160,24140,51780,87120,125220,167260,215160,,,
5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
