time (sec),obs_congestion_control-single_node_offerload_0_1-DES-1: Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_2-DES-1: Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_3-DES-1: Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_4-DES-1: Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_5-DES-1: Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_6-DES-1: Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_7-DES-1: Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_8-DES-1: Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_9-DES-1: Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_10-DES-1: Traffic Sink.Traffic Received (packets/sec) ,,,
3.6,45000,90000,134480,172740,201780,218720,224400,231540,234180,233880,,,
3.65,44840,90000,134700,173960,200020,218060,227320,232640,231860,238240,,,
3.7,44440,89980,134480,173960,200660,216060,226260,231580,233340,236840,,,
3.75,44940,89980,134340,173800,202780,220500,227200,229100,236020,238680,,,
3.8,45000,90000,134420,174020,204200,219400,224780,234220,234360,238600,,,
3.85,45000,89980,134360,173840,202360,223480,229440,233060,235580,240260,,,
3.9,45000,89920,134420,173660,201860,217520,225200,231480,233700,235500,,,
3.95,45000,89960,134240,174400,200920,215420,226240,235140,235820,235780,,,
4,45000,89960,134340,173360,204260,217940,227840,229940,235660,241720,,,
4.05,45000,89980,134160,174160,202400,217680,227500,231740,235600,240500,,,
4.1,45000,90000,134540,174460,202200,215180,225160,235080,234620,237600,,,
4.15,45000,90000,134080,174760,201540,218880,225780,236400,234080,240140,,,
4.2,45000,89980,134120,173600,200360,218440,226000,232320,236920,234240,,,
4.25,45000,90000,134180,173760,202040,217060,224780,233540,235020,237740,,,
4.3,45000,90000,134300,174500,200420,219080,229720,229420,234260,238340,,,
4.35,44720,90000,134380,173680,202460,218940,227580,232940,236240,237560,,,
4.4,44880,90000,134260,172940,201620,218860,230580,232400,238340,235680,,,
4.45,45000,90000,134140,173540,202640,219500,225700,234880,236240,237140,,,
4.5,44660,89980,133580,174740,202420,218300,226880,233880,236280,240240,,,
4.55,45000,90000,134020,174200,202720,218080,227820,231140,237720,236820,,,
4.6,44920,90000,134520,173660,203060,215460,226980,232160,236560,239220,,,
4.65,44680,90000,134400,174660,202080,218600,226060,230620,234660,239040,,,
4.7,45000,90000,134060,173600,202640,214220,228900,231860,235040,236820,,,
4.75,45000,90000,134380,174580,202920,215800,227760,233400,234000,231620,,,
4.8,45000,90000,134300,174000,202800,216900,225700,237520,237220,235580,,,
4.85,45000,90000,134240,173780,200240,219180,225540,232080,239260,235720,,,
4.9,45000,89980,134360,173720,200080,218060,229000,235340,236880,236740,,,
4.95,44500,90000,134480,174800,198520,216820,227740,235760,237840,234700,,,
5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
