0,0,0,440,3700,16280,39180,66440,98500,134840,164700,,
0.05,0,0,540,6040,23940,50140,85780,126020,171960,202780,,0
0.1,0,0,800,7080,22960,54240,86920,130860,168780,210080,,15.6
0.15,0,0,280,6680,22220,51740,80720,123120,168620,209340,,720
0.2,0,60,500,6840,22720,54880,85820,120000,161320,200600,,6653.6
0.25,0,0,920,5660,21780,54980,89840,119340,159060,196700,,19527.8
0.3,0,20,640,6640,22960,51560,87640,116340,157560,200300,,25515.8
0.35,0,0,580,5820,23900,50500,87540,115200,157020,200100,,37715.4
0.4,0,0,460,6060,23440,44920,81920,110260,148540,186000,,50014.6
0.45,0,0,660,6900,22960,46400,80460,110180,144820,185000,,71364.2
0.5,0,0,440,6680,22980,46520,78140,107140,146840,184920,,95577.4
0.55,0,0,660,5960,23660,43720,80460,107540,149060,184780,,
0.6,0,20,800,5760,23620,41880,73680,104680,134300,172860,,
0.65,0,40,880,6780,23500,42180,72660,94260,136620,176220,,
0.7,0,40,600,6680,22340,42060,74000,96640,137920,175480,,
0.75,0,0,500,5880,23860,42780,74760,97240,137240,177400,,
0.8,0,0,620,6720,21360,34440,63160,91580,129840,159220,,
0.85,0,40,720,5720,23200,34500,70540,91700,126420,163600,,
0.9,0,0,680,5300,24100,37300,68220,90820,125940,164100,,
0.95,0,0,460,5960,22200,34920,65320,89520,127700,162200,,
1,0,0,420,5900,20940,31400,58840,82420,117580,146640,,
1.05,0,20,680,6580,19840,32440,59280,81660,118300,150420,,
1.1,0,0,360,5620,19800,31360,58060,81660,115880,148860,,
1.15,0,0,640,6160,21280,33120,57140,85440,118240,150320,,
1.2,0,0,1000,6500,23300,26200,55980,75200,109020,139280,,
1.25,0,0,540,7680,23540,25800,57400,79720,105600,140780,,
1.3,0,0,420,7260,23520,25440,53380,75340,105440,140740,,
1.35,0,0,540,7020,23940,27300,53000,76440,109080,140260,,
1.4,0,80,520,6060,19540,23000,48780,68060,95200,134300,,
1.45,0,40,840,6040,18580,25060,47760,66900,94560,134460,,
1.5,0,0,940,6000,19140,23040,46800,68540,99460,131000,,
1.55,0,0,800,5380,19780,24160,47760,65220,97680,128200,,
1.6,0,40,460,6120,15380,19500,40000,60960,90820,117420,,
1.65,0,0,700,6520,14320,18120,42600,60780,88700,121040,,
1.7,0,0,780,7000,16240,19200,41960,60020,88700,122040,,
1.75,0,0,840,6180,17040,19960,41620,62480,88380,121440,,
1.8,0,20,720,7180,16000,18640,35360,57080,81920,114520,,
1.85,0,0,780,7940,16560,18360,36140,57160,79680,113780,,
1.9,0,0,480,5700,16640,16280,38520,55700,83960,111880,,
1.95,0,0,420,5740,16000,16200,33780,55280,81180,108440,,
2,0,0,820,7480,17960,16740,32340,47140,75500,105320,,
2.05,0,0,840,7280,16300,16860,31280,46520,74260,103000,,
2.1,0,60,580,6580,15180,17460,30080,46760,72520,101500,,
2.15,0,0,1040,6220,17180,17340,32180,48520,71020,101120,,
2.2,0,60,720,5700,16720,16700,28860,43520,69740,92280,,
2.25,0,0,620,6860,18020,18160,27440,43140,68040,96060,,
2.3,0,0,780,5900,16480,17680,26500,42680,68960,93280,,
2.35,0,20,600,7000,19420,17620,26640,43060,65120,94560,,
2.4,0,0,540,6140,17720,18500,23400,37980,58740,84820,,
2.45,0,20,640,6340,18200,18700,23620,39260,60780,84980,,
2.5,0,60,740,7400,18780,19240,23520,38540,62380,83480,,
2.55,0,20,900,7320,18260,17280,23800,37960,60040,86820,,
2.6,0,0,520,6220,18800,19300,18580,35820,55400,76040,,
2.65,0,0,880,6820,19440,16720,20380,33920,51180,76840,,
2.7,0,0,920,7840,20320,19240,21500,34120,51940,79000,,
2.75,0,0,660,7340,19620,20020,21800,33700,54720,80460,,
2.8,0,0,680,6760,18560,17780,17020,29740,46760,68660,,
2.85,0,40,780,6580,18000,18200,17300,28980,49240,68860,,
2.9,0,80,980,4760,19440,19800,18600,29500,45680,70300,,
2.95,0,20,880,7540,19940,20060,17100,28760,48280,69720,,
