"time","(sec)","obs_congestion_control-network_without_cc_offerload_0_1-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_2-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_3-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_4-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_5-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_6-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_7-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_8-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_9-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_10-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit"
0.95,0,0,0.000222074,0.004838979,0.017205781,0.062375191,0.109277478,0.097481546,0.114136018,0.147182754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0.000221976,0.004507513,0.024607896,0.067287044,0.103067353,0.083258123,0.100170867,0.127836534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.05,0,0,0.000669493,0.005837225,0.023669449,0.072744339,0.096593359,0.081503996,0.095954744,0.130487805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,0,0,0,0.005221492,0.030653951,0.056100478,0.088327058,0.079215775,0.083714498,0.125926678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.15,0,0,0.000220994,0.003368705,0.025288919,0.066035531,0.089022686,0.082222981,0.090414756,0.12889856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,0,0,0.000449741,0.00491481,0.02559845,0.070954212,0.08749049,0.072021539,0.073464428,0.115327381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.25,0,0,0.000214225,0.005789909,0.025524283,0.0662205,0.09375,0.083896396,0.077423698,0.111835775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3,0,0,0,0.005249788,0.034866568,0.05442749,0.088653258,0.086191437,0.076794098,0.108151476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.35,0,0,0.000441696,0.003613214,0.033586132,0.061915473,0.080499728,0.093117409,0.080206116,0.109291941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4,0,0,0.000218198,0.006740816,0.021230267,0.0625,0.079621687,0.088140848,0.069596656,0.091477717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
