"time","(sec)","obs_congestion_control-network_without_cc_offerload_0_1-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_2-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_3-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_4-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_5-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_6-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_7-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_8-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_9-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_10-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)"
0,31160,64480,97000,129360,156760,176600,185320,199940,199480,207520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,43360,89000,134280,177860,214640,240060,254960,261840,270980,273500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,44520,89340,134180,176920,211940,239580,253040,263200,267760,268980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.15,44380,89280,133880,177560,213600,236400,250640,261060,270800,272660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,44620,89900,135720,177900,214500,239660,254920,266480,271520,272900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,44660,90620,132460,176540,213760,239900,253820,266100,274240,271900,,44973.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,44580,89280,133060,175400,213760,240100,257600,266240,271940,272960,,89908.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.35,44800,88740,132860,177140,212040,240860,254620,263620,271480,274040,,134671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,45420,89720,134540,177000,214880,242520,254140,260300,269700,270660,,177278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.45,45440,90500,136300,177780,217880,240060,254700,262420,268300,264940,,212022.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,45240,89920,134680,178300,214720,239260,257280,260980,269700,268880,,236250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.55,45480,89540,135640,179360,215140,240800,256280,257500,270660,267980,,252009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,45780,91560,135860,181020,214220,241300,252780,256260,265300,267920,,250457.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.65,46000,91080,136780,179000,213880,240760,253920,253080,265720,264360,,254469.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,45080,90860,136480,179560,214000,238700,256480,255020,260500,264680,,251162.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.75,44800,91820,135200,177760,217100,240980,256520,257200,262660,268000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,45720,91700,136940,179320,214340,239680,253500,249620,258200,262160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.85,45140,91240,135600,177460,211740,238100,252300,248280,262240,262160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,45260,89940,133220,179300,215940,238300,252600,250120,260120,258820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,44760,91180,135340,178740,215580,239560,253620,247860,260160,261900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,46220,89920,135140,177120,216900,235220,252960,245000,252480,256140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.05,44460,88560,135140,179060,214400,237460,253580,245940,256780,257180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,45200,91300,134280,177140,212720,237380,255700,243640,258560,256200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.15,43260,90440,135660,178520,215500,241400,253860,243160,255800,255140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,44960,91780,133980,181220,212060,239540,251140,246340,252560,251400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.25,45020,90860,138640,178700,210960,239080,251780,245640,249960,250520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3,46320,90340,134760,177360,213840,235820,252240,247000,250220,250160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.35,45120,90200,133940,177620,212340,238540,252740,243120,248940,253600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4,44280,89900,137280,177080,217180,236820,250760,248860,248040,245700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.45,45400,89860,134320,178820,215600,240180,250820,250860,245140,242720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,43160,89420,132960,177360,213500,241000,251300,248360,245300,244940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.55,44720,90040,136240,176880,210680,238320,252980,248220,245640,246620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6,44940,89960,137260,176220,214280,236060,255200,245140,245880,241160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.65,44840,88740,135460,179560,213460,239180,253700,246180,247700,238540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7,44140,89600,137320,175920,214880,238780,251920,245780,247660,239980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.75,44600,90540,133220,180220,214740,238880,251920,249100,246760,240280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.8,46340,89240,135460,178640,210620,239320,252740,250320,248220,242220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.85,46400,88500,134400,177760,214280,238120,252140,247880,248660,243140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9,43860,89940,132880,178800,211820,238880,255580,247860,249020,241980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.95,41820,88920,134380,179700,216000,236820,253800,247900,250780,242560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,45260,89560,139480,177920,214200,239540,255100,251120,248180,242320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.05,45000,91680,136360,176300,213460,235860,255600,248740,250180,240180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1,44960,89780,133200,178240,212800,238260,254020,249280,249240,242800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.15,45160,89640,135480,175940,212120,237440,255760,250300,249560,241940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2,45560,89120,134180,178240,213240,234720,255760,251920,250400,241840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.25,45980,90640,132980,176740,210140,238260,253080,250880,249220,245500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3,43780,89400,137140,179980,214220,239620,255920,247480,248920,242020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.35,45420,90200,135440,182040,210480,238060,254420,250180,251020,243960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4,46340,86700,135120,174900,213880,238780,251000,253100,252360,243540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.45,46400,90660,134840,173620,213280,235300,252640,250000,250900,244600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,45540,90700,135460,182200,213440,236440,250600,253180,248060,244400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.55,44640,90840,134500,174640,211200,234220,252240,251280,253360,246580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6,45320,90500,132740,173580,213500,234340,249680,251400,252520,246560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.65,46160,91380,135300,180340,210820,234660,251420,253360,252460,245180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.7,45980,89940,131820,177740,211700,236180,247900,251780,255800,246440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.75,44180,90960,134580,179260,213400,237600,250520,252560,251380,245480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.8,44960,91600,132820,179180,210640,236100,250120,254560,254680,246140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.85,45120,88880,136140,178800,211240,235040,250920,251520,254620,247980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.9,45300,89560,134980,178460,214040,238740,251040,250060,252320,245300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.95,45520,88380,134800,176700,213380,233380,249800,248720,253800,244580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,45020,89880,135280,175300,213120,234800,252640,253140,255400,247740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.05,44020,88900,136800,177860,211980,238360,249420,253520,255020,247980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1,45140,91740,132380,179960,210220,237880,253040,252520,253120,245260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
