"time","(sec)","obs_congestion_control-network_without_cc_offerload_0_1-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_2-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_3-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_4-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_5-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_6-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_7-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_8-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_9-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_10-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)"
0,31160,64480,97000,129360,156760,176600,185320,199940,199480,207520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,43360,89000,134280,177860,214640,240060,254960,261840,270980,273500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,44520,89340,134180,176920,211940,239580,253040,263200,267760,268980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.15,44380,89280,133880,177560,213600,236400,250640,261060,270800,272660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,44620,89900,135720,177900,214500,239660,254920,266480,268940,272900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,44660,90620,132460,176540,213760,239900,253820,266100,270560,271900,,44973.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,44580,89280,133060,175400,213760,240100,257600,266240,269540,272960,,89908.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.35,44800,88740,132860,177140,212040,240860,254620,263620,269540,274040,,134671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,45420,89720,134540,177000,214880,242520,253740,260300,265960,270660,,177278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.45,45440,90500,136300,177780,217880,240060,250780,262420,267940,264940,,212022.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,45240,89920,134680,178300,214720,239260,255740,260980,267300,268880,,236250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.55,45480,89540,135640,179360,215140,240800,252220,257500,268280,267980,,245589.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,45780,91560,135860,181020,214220,241300,249540,256260,261920,267920,,245994.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.65,46000,91080,136780,179000,213880,240760,247560,253080,262020,264360,,248045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,45080,90860,136480,179560,214000,238700,250500,255020,263140,264680,,246169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.75,44800,91820,135200,177760,217100,240980,249000,257200,261720,268000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,45720,91700,136940,179320,214340,239680,240980,249620,253940,262160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.85,45140,91240,135600,177460,211740,238100,243780,248280,256020,262160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,45260,89940,133220,179300,215940,238300,242660,250120,257700,258820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,44760,91180,135340,178740,215580,239560,241580,247860,255220,261900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,46220,89920,135140,177120,216900,235220,241120,245000,253120,256140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.05,44460,88560,135140,179060,214400,237460,243080,245940,252140,257180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,45200,91300,134280,177140,212720,237380,241200,243640,252300,256200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.15,43260,90440,135660,178520,215500,241400,241180,243160,250900,255140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,44960,91780,133980,181220,212060,239540,240680,239440,244740,251400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.25,45020,90860,138640,178700,210960,239080,241300,237300,246580,250520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3,46320,90340,134760,177360,213840,235820,242300,238140,243480,250160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.35,45120,90200,133940,177620,212340,238540,242000,237800,245660,253600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4,44280,89900,137280,177080,217180,236820,243020,237880,238100,245700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.45,45400,89860,134320,178820,215600,240180,242800,240700,238660,242720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,43160,89420,132960,177360,213500,241000,243440,238680,237200,244940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.55,44720,90040,136240,176880,210680,238320,244820,241740,237920,246620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6,44940,89960,137260,176220,214280,236060,246480,240640,236660,241160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.65,44840,88740,135460,179560,213460,239180,245340,238480,238860,238540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7,44140,89600,137320,175920,214880,238780,246480,239520,238920,239980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.75,44600,90540,133220,180220,214740,238880,244220,239180,239840,240280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.8,46340,89240,135460,178640,210620,239320,246320,242040,239300,234060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.85,46400,88500,134400,177760,214280,238120,245460,240720,239160,234780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9,43860,89940,132880,178800,211820,238880,244960,242320,239260,232340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.95,41820,88920,134380,179700,216000,236820,244160,241360,240800,234220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,45260,89560,139480,177920,214200,239540,242980,243540,243520,234380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.05,45000,91680,136360,176300,213460,235860,245520,243100,240380,232740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1,44960,89780,133200,178240,212800,238260,244420,241120,241220,233860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.15,45160,89640,135480,175940,212120,237440,243880,241960,241060,232660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2,45560,89120,134180,178240,213240,234720,246160,244400,244020,235660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.25,45980,90640,132980,176740,210140,238260,245520,244200,241680,235200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3,43780,89400,137140,179980,214220,239620,245800,244320,241760,237560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.35,45420,90200,135440,182040,210480,238060,245380,244760,241980,234700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4,46340,86700,135120,174900,213880,238780,246380,241800,242720,235680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.45,46400,90660,134840,173620,213280,235300,245520,243700,243060,236660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,45540,90700,135460,182200,213440,236440,245540,245620,243020,237780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.55,44640,90840,134500,174640,211200,234220,247680,244460,242260,236840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6,45320,90500,132740,173580,213500,234340,246180,245060,242540,238860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.65,46160,91380,135300,180340,210820,234660,247660,244160,242780,238420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.7,45980,89940,131820,177740,211700,236180,246340,247200,243240,235620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.75,44180,90960,134580,179260,213400,237600,248280,247060,244700,240140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.8,44960,91600,132820,179180,210640,236100,247200,244740,245260,240840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.85,45120,88880,136140,178800,211240,235040,244320,244100,244300,239480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.9,45300,89560,134980,178460,214040,238740,246260,244580,245280,240160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.95,45520,88380,134800,176700,213380,233380,244880,246600,247620,238600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,45020,89880,135280,175300,213120,234800,246280,244820,246400,240600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.05,44020,88900,136800,177860,211980,238360,246880,243520,245660,239760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1,45140,91740,132380,179960,210220,237880,246480,245000,246520,242640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
