time (sec),obs_congestion_control-single_node_offerload_0_1-DES-1: Logical Network.core_node.OBS Node Stats.Burst Blocking Transit ,obs_congestion_control-single_node_offerload_0_2-DES-1: Logical Network.core_node.OBS Node Stats.Burst Blocking Transit ,obs_congestion_control-single_node_offerload_0_3-DES-1: Logical Network.core_node.OBS Node Stats.Burst Blocking Transit ,obs_congestion_control-single_node_offerload_0_4-DES-1: Logical Network.core_node.OBS Node Stats.Burst Blocking Transit ,obs_congestion_control-single_node_offerload_0_5-DES-1: Logical Network.core_node.OBS Node Stats.Burst Blocking Transit ,obs_congestion_control-single_node_offerload_0_6-DES-1: Logical Network.core_node.OBS Node Stats.Burst Blocking Transit ,obs_congestion_control-single_node_offerload_0_7-DES-1: Logical Network.core_node.OBS Node Stats.Burst Blocking Transit ,obs_congestion_control-single_node_offerload_0_8-DES-1: Logical Network.core_node.OBS Node Stats.Burst Blocking Transit ,obs_congestion_control-single_node_offerload_0_9-DES-1: Logical Network.core_node.OBS Node Stats.Burst Blocking Transit ,obs_congestion_control-single_node_offerload_0_10-DES-1: Logical Network.core_node.OBS Node Stats.Burst Blocking Transit ,,
2.15,0,0,0.007525587,0.025519422,0.06885307,0.088417915,0.100225507,0.101901391,0.115478152,0.129037149,,
2.2,0,0.00066123,0.004832377,0.024833503,0.063853518,0.092714679,0.099644128,0.096564917,0.114402773,0.125853437,,
2.25,0,0,0.004252088,0.028142168,0.062317887,0.090430422,0.103667196,0.090403453,0.114919038,0.121964218,,
2.3,0,0,0.005161481,0.023968344,0.063580015,0.096645963,0.096460618,0.095873281,0.117357472,0.12641152,,
2.35,0,0.000217202,0.00404555,0.02958645,0.060383747,0.096937926,0.096012549,0.095750897,0.116583393,0.126035728,,
2.4,0,0,0.003796175,0.025540932,0.057834058,0.087977275,0.09673429,0.094194868,0.108946609,0.120621383,,
2.45,0,0.000221141,0.004057383,0.028348769,0.059951366,0.095226193,0.094365966,0.091262793,0.113027435,0.121802773,,
2.5,0,0.000661521,0.004972214,0.030015622,0.060113351,0.096980787,0.096461424,0.088366985,0.108733834,0.123856385,,
2.55,0,0.000219491,0.00621118,0.028731135,0.066124965,0.095976006,0.098678194,0.091016949,0.110443697,0.123431123,,
2.6,0,0,0.002528257,0.025821596,0.062287656,0.102400133,0.098177299,0.089099765,0.101544899,0.118086929,,
2.65,0,0,0.00539752,0.028327985,0.063130612,0.098772747,0.09373203,0.086417671,0.103820261,0.123920653,,
2.7,0,0,0.006072275,0.033028342,0.0657446,0.09643571,0.105615747,0.092895714,0.10257032,0.117034408,,
2.75,0,0,0.004119464,0.032849923,0.059090909,0.099503743,0.097014315,0.089282686,0.102568231,0.116150183,,
2.8,0,0,0.004599407,0.026212172,0.060787103,0.092591035,0.09945248,0.091415548,0.096910112,0.11538158,,
2.85,0,0.000439271,0.005613828,0.028237147,0.061481136,0.097969036,0.102132896,0.098532141,0.094793713,0.115925059,,
2.9,0,0.000880088,0.006075874,0.018797418,0.061299091,0.093388773,0.099500832,0.08788997,0.104545081,0.118391253,,
2.95,0,0.000230309,0.005567259,0.030793088,0.060915131,0.091400118,0.097525355,0.091398754,0.097210829,0.112246515,,
3,0,0,0.005633396,0.028283522,0.061702323,0.095345158,0.105302157,0.092140693,0.087864721,0.11542138,,
3.05,0,0.000453309,0.007185629,0.030052508,0.061382989,0.091797204,0.106903868,0.094180962,0.097892194,0.110085905,,
3.1,0,0.000221533,0.004888165,0.031347962,0.063496556,0.096600017,0.099399819,0.091707072,0.092002004,0.115495438,,
3.15,0,0.000665041,0.003699319,0.03236246,0.065932013,0.09673913,0.097265433,0.088820187,0.092402635,0.108723236,,
3.2,0,0,0.007506857,0.03108229,0.064690282,0.092013157,0.093850598,0.091884641,0.092611001,0.107556977,,
3.25,0,0.000219491,0.005967977,0.024390244,0.063314886,0.097367321,0.093907165,0.096570852,0.094190871,0.10888182,,
3.3,0,0,0.005339662,0.032016957,0.05660731,0.091965471,0.092220932,0.094837733,0.097108474,0.106814732,,
3.35,0,0.000219298,0.005156985,0.024003623,0.063350983,0.095483762,0.098535286,0.093916667,0.093054393,0.112134432,,
3.4,0,0,0.006995045,0.025218449,0.065396885,0.093301639,0.098414795,0.093214701,0.097971014,0.097844514,,
3.45,0,0.000221141,0.005033309,0.024589248,0.056959638,0.098323171,0.097986801,0.096820565,0.096050344,0.09909247,,
3.5,0,0,0.004125534,0.028610354,0.06197798,0.092806244,0.093869097,0.097795458,0.095257869,0.102411116,,
3.55,0,0.000445038,0.005182882,0.029392118,0.058913251,0.096784941,0.104719026,0.097726133,0.099156294,0.104534723,,
3.6,0,0,0.006199262,0.031267574,0.064809656,0.090423276,0.101243636,0.097771866,0.100330033,0.098018167,,
3.65,0,0.00043735,0.003806735,0.027215475,0.071468401,0.098211272,0.095719973,0.099672791,0.094037648,0.095768374,,
3.7,0,0.000220751,0.007326555,0.03044364,0.061645119,0.096403849,0.094962362,0.095761512,0.100740132,0.093030955,,
3.75,0,0.000220216,0.004522247,0.028438704,0.06194275,0.094750964,0.100367401,0.09609935,0.102939959,0.103650964,,
3.8,0,0,0.007718569,0.027901786,0.059233449,0.090316021,0.097222222,0.096962131,0.1019919,0.088173134,,
3.85,0,0.000438596,0.003761661,0.022801671,0.061618062,0.086883876,0.091782284,0.093894772,0.10551103,0.089968019,,
