"time","(sec)","obs_congestion_control-network_without_cc_offerload_0_1-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_2-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_3-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_4-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_5-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_6-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_7-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_8-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_9-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_10-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit"
0.95,0,0,0.000222222,0.005707571,0.025,0.068048034,0.111822092,0.157153802,0.198541833,0.242606972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0.000222272,0.004028874,0.029359552,0.06180703,0.107335662,0.140954917,0.199499464,0.239832388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.05,0,0,0.000444939,0.004703511,0.021819679,0.06385243,0.103902954,0.138768011,0.181188032,0.233012108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,0,0,0.000222222,0.005524862,0.027145001,0.06124839,0.113890367,0.158572655,0.186551359,0.232715286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.15,0,0,0,0.005863629,0.019989047,0.064811553,0.107724645,0.162515627,0.194183445,0.242826339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,0,0,0.000222767,0.003351768,0.01867106,0.058389026,0.116191275,0.161669213,0.190326249,0.23552795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.25,0,0,0.000445732,0.004024145,0.018538863,0.057871737,0.112385562,0.145011933,0.191511936,0.242529592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3,0,0,0.000445534,0.007371419,0.027507869,0.06075709,0.108497007,0.146695993,0.189155666,0.243625115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.35,0,0,0.000222222,0.006349206,0.020622781,0.061275089,0.113370562,0.144751908,0.196222361,0.234065568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4,0,0,0.000222222,0.006188326,0.02157186,0.059859574,0.105970616,0.157945179,0.19243042,0.245289339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.45,0,0,0.000444444,0.004682274,0.021072797,0.066768364,0.104407627,0.146716662,0.198726453,0.249141325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,0,0,0.000444444,0.004842211,0.021171295,0.060410557,0.104070981,0.150129422,0.200370566,0.24610903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.55,0,0,0.000224215,0.0051935,0.019983575,0.060784545,0.103705259,0.163674966,0.191028271,0.259156353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6,0,0,0.000893455,0.006861925,0.020511418,0.067457986,0.110878003,0.158551691,0.190838345,0.254763704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.65,0,0,0.000222272,0.007866109,0.024989702,0.060754761,0.118284092,0.150503597,0.197303052,0.252563141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7,0,0,0,0.006529382,0.024560922,0.060270747,0.113914773,0.159360643,0.204719501,0.233489775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.75,0,0,0.000223214,0.000838504,0.019522184,0.06629055,0.114106783,0.15970092,0.189407381,0.231898565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.8,0,0,0.000222469,0.004011366,0.023316418,0.064210526,0.116518091,0.159931376,0.203537463,0.240198102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.85,0,0,0.000222222,0.004185501,0.0244102,0.065940501,0.112701065,0.154573229,0.193301688,0.243614119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9,0,0,0.000666815,0.004527922,0.023803047,0.067989667,0.097251364,0.162966507,0.195484728,0.239651597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
